CHAPTER,FILE,SUMMARY,CURRENT_TAGS,PROPOSED_TAGS,TAGS_ADDED,TAGS_REMOVED,RATIONALE_ADDED,APPROVAL_STATUS
002-cross-check-normativo,sbd-toe/002-cross-check-normativo/01-intro.md,"A segurança do software não acontece num vácuo técnico. | Organizações de diferentes setores estão s","compliance|cross-check|dora|gdpr|hipaa|iso27001|nis2|normativos|pci-dss|soc2","compliance|cross-check|dora|gdpr|hipaa|iso27001|nis2","","normativos|pci-dss|soc2","",OK
cra,sbd-toe/002-cross-check-normativo/cra/01-intro.md,"> Para implementação prática; consulte o [Playbook SbD-ToE 4 CRA](/sbd-toe/cross | >","cra|cross-check|produtos-digitais|regulamentacao|sbom|vulnerabilidades","cra|cross-check|dependencias|produtos-digitais|regulamentacao|sbom|vulnerabilidades","dependencias","","dependencias(95%,rag+pattern:RAG + keyword pattern agreemen)",OK
cra,sbd-toe/002-cross-check-normativo/cra/02-playbook.md,"Objetivo: Transformar requisitos CRA em ações concretas usando controlos existen | Princípio: Reutil","cra|implementacao|playbook|produtos-digitais|roadmap","cra|dora|implementacao|nis2|playbook|produtos-digitais|roadmap","dora|nis2","","dora(69%,rag:Found in 69% of similar docume); nis2(68%,rag:Found in 67% of similar docume)",OK
dora,sbd-toe/002-cross-check-normativo/dora/01-intro.md,"> Para implementação prática; consulte o [Playbook SbD-ToE 4 DORA](/sbd-toe/cros | >","cross-check|dora|finanças|ict-risk|regulamentacao|resiliencia","arquitetura|cross-check|dora|finanças|ict-risk|regulamentacao|resiliencia","arquitetura","","arquitetura(60%,pattern:Content keywords match pattern)",OK
dora,sbd-toe/002-cross-check-normativo/dora/02-playbook.md,"Este playbook mapeia **requisitos DORA (Regulamento UE 2022/2554) para ações SbD | **Princípio:** Im","dora|implementacao|playbook|roadmap","cra|dora|implementacao|nis2|playbook|produtos-digitais|roadmap","cra|nis2|produtos-digitais","","cra(69%,rag:Found in 68% of similar docume); nis2(71%,rag:Found in 71% of similar docume); produtos-digitais(69%,rag:Found in 68% of similar docume)",OK
dora,sbd-toe/002-cross-check-normativo/dora/03-convergencia-nis2.md,"Esta nota destina-se a organizações do setor financeiro (bancos; seguradoras; in | DORA é lex specia","convergencia|dora|governanca|lex-specialis|nis2","convergencia|dora|governanca|governação|lex-specialis|nis2|testes","governação|testes","","governação(66%,rag:Found in 65% of similar docume); testes(60%,pattern:Content keywords match pattern)",OK
enisa-csa,sbd-toe/002-cross-check-normativo/enisa-csa/01-intro.md,"> Veja também: [CRA](/sbd-toe/cross-check-normativo/cra); [DORA](/sbd-toe/cross- | O **Cybersecurity","certificacao|csa|enisa|eu5g|eucc|eucs|procurement","certificacao|csa|enisa|eu5g|eucc|eucs|procurement","","","",OK
exemplo-playbook,sbd-toe/002-cross-check-normativo/exemplo-playbook/01-exemplo-toolchain-options.md,"O SbD-ToE prescreve ([Cap. 08](/sbd-toe/sbd-manual/iac-infraestrutura/intro); [C | - ✓ Infraestrutur","exemplos|ferramentas|iac|logs|toolchain|vulnerabilidades","exemplos|ferramentas|iac|logs|monitorizacao|toolchain|vulnerabilidades","monitorizacao","","monitorizacao(80%,rag:Found in 79% of similar docume)",OK
exemplo-playbook,sbd-toe/002-cross-check-normativo/exemplo-playbook/02-exemplo-kpis-targets.md,"O SbD-ToE prescreve ([Cap. 12](/sbd-toe/sbd-manual/monitorizacao-operacoes/intro | - ✓ Métricas de s","exemplos|kpis|metricas|monitoramento|targets","cra|exemplos|kpis|metricas|monitoramento|monitorizacao|targets","cra|monitorizacao","","cra(67%,rag:Found in 66% of similar docume); monitorizacao(80%,rag:Found in 79% of similar docume)",OK
exemplo-playbook,sbd-toe/002-cross-check-normativo/exemplo-playbook/03-exemplo-raci-governance.md,"O SbD-ToE prescreve ([Cap. 14](/sbd-toe/sbd-manual/governanca-contratacao/intro) | - ✓ Estrutura de ","exemplos|governanca|organizacao|raci|responsabilidades","cra|exemplos|governanca|governação|organizacao|raci|responsabilidades","cra|governação","","cra(65%,rag:Found in 65% of similar docume); governação(80%,rag:Found in 80% of similar docume)",OK
